doi,exemplar,text,alpha,total_length_of_article
10.1037_a0021668,1,NA,NA,53921
10.1037_a0021669,1,NA,NA,101068
10.1037_a0021671,1,NA,NA,123351
10.1037_a0021671,2,a coefficient was .76 at Grade 2 and .84 at Grade 4,0.76,123351
10.1037_a0021671,3,a coefficient of the scores was .67 at both second,0.67,123351
10.1037_a0021671,4,"a coefficients were .76 at Grade 2, .81 at Grade 3,",0.76,123351
10.1037_a0021673,1,NA,NA,68299
10.1037_a0021674,1,NA,NA,52832
10.1037_a0021675,1,NA,NA,52532
10.1037_a0021676,1,NA,NA,57263
10.1037_a0021678,1,NA,NA,22337
10.1037_a0021680,1,NA,NA,80064
10.1037_a0021684,1,NA,NA,73408
10.1037_a0021687,1,NA,NA,68822
10.1037_a0021688,1,NA,NA,54540
10.1037_a0021690,1,NA,NA,47944
10.1037_a0021691,1,NA,NA,51698
10.1037_a0021691,2,"a = 0.85,

**Job confidence**

Six items from May,",0.85,51698
10.1037_a0021691,3,"a = 0.81.

**Depressive symptoms**

Five items from",0.81,51698
10.1037_a0021691,4,"a = 0.68.

**Physical health concerns**

Participan",0.68,51698
10.1037_a0021692,1,NA,NA,106774
10.1037_a0021696,1,NA,NA,88222
10.1037_a0021700,1,NA,NA,68993
10.1037_a0021700,2,a for the shortened scale was .81 (95% CI = .71–.87,0.81,68993
10.1037_a0021700,3,"a for the total scale was .80 (95% CI = .72–.86).

",0.8,68993
10.1037_a0021700,4,as were .93 (95% CI = .90–.95) and .88 (95% CI = .8,0.93,68993
10.1037_a0021700,5,"a in this sample was .69 (95% CI = .65–.73).

Cogni",0.69,68993
10.1037_a0021700,6,"a was .89 (95% CI = .88–.90).

Callous interpersona",0.89,68993
10.1037_a0021700,7,a for this 11-item measure was .81 (95% CI = .78–.8,0.81,68993
10.1037_a0021700,8,"a was .86 (95% CI = .84–.88).

#### Results and Dis",0.86,68993
10.1037_a0021705,1,NA,NA,101421
10.1037_a0021706,1,NA,NA,32198
10.1037_a0021708,1,NA,NA,71256
10.1037_a0021708,2,a for indirect knowledge of interpersonal deviance,NA,71256
10.1037_a0021708,3,"a was .93.

#### Control Variables

We collected se",0.93,71256
10.1037_a0021708,4,a was .86. Work group size was provided by each org,0.86,71256
10.1037_a0021710,1,NA,NA,57943
10.1037_a0021710,2,a equals .93. In the third set of analyses a positi,0.93,57943
10.1037_a0021710,3,a equals .75). The substance use items were exclude,0.75,57943
10.1037_a0021710,4,a for cohesion equals .70 and Cronbach's alpha for,0.7,57943
10.1037_a0021710,5,a for conflict equals .61. Lifetime prevalence of a,0.61,57943
10.1037_a0021711,1,NA,NA,107003
10.1037_a0021713,1,NA,NA,153613
10.1037_a0021715,1,NA,NA,88966
10.1037_a0021716,1,NA,NA,114359
10.1037_a0021717,1,NA,NA,111818
10.1037_a0021718,1,NA,NA,45422
10.1037_a0021718,2,a examined internal consistency across all 47 items,NA,45422
10.1037_a0021718,3,a for the 47-item questionnaire was 0.97. For the N,0.97,45422
10.1037_a0021718,4,a is lower when fewer items are contained in a scal,NA,45422
10.1037_a0021720,1,NA,NA,48951
10.1037_a0021722,1,NA,NA,64157
10.1037_a0021723,1,NA,NA,62970
10.1037_a0021724,1,NA,NA,48826
10.1037_a0021725,1,NA,NA,79213
10.1037_a0021726,1,NA,NA,71014
10.1037_a0021727,1,NA,NA,66595
10.1037_a0021728,1,NA,NA,62079
10.1037_a0021729,1,NA,NA,217673
10.1037_a0021730,1,NA,NA,8086
10.1037_a0021731,1,NA,NA,50147
10.1037_a0021732,1,NA,NA,51934
10.1037_a0021734,1,NA,NA,21932
10.1037_a0021735,1,NA,NA,39824
10.1037_a0021736,1,NA,NA,27913
10.1037_a0021737,1,NA,NA,49733
10.1037_a0021739,1,NA,NA,40660
10.1037_a0021740,1,NA,NA,52222
10.1037_a0021741,1,NA,NA,27669
10.1037_a0021742,1,NA,NA,53358
10.1037_a0021743,1,NA,NA,56719
10.1037_a0021744,1,NA,NA,61836
10.1037_a0021745,1,NA,NA,59077
10.1037_a0021746,1,NA,NA,86831
10.1037_a0021747,1,NA,NA,61639
10.1037_a0021748,1,NA,NA,62590
10.1037_a0021749,1,NA,NA,62508
10.1037_a0021750,1,NA,NA,104540
10.1037_a0021750,2,"α = .74), and their average composites were used in",0.74,104540
10.1037_a0021750,3,α = .90) was used in the manipulation check analyse,0.9,104540
10.1037_a0021750,4,"α = .74). As always, the dependent variable was par",0.74,104540
10.1037_a0021751,1,NA,NA,48452
10.1037_a0021752,1,NA,NA,54935
10.1037_a0021752,2,a may be a biased estimate of reliability due to re,NA,54935
10.1037_a0021753,1,NA,NA,41193
10.1037_a0021754,1,NA,NA,51489
10.1037_a0021756,1,NA,NA,30802
10.1037_a0021758,1,NA,NA,22800
10.1037_a0021759,1,NA,NA,30333
10.1037_a0021760,1,NA,NA,52574
10.1037_a0021760,2,a reliabilities were .55 for mother involvement and,0.55,52574
10.1037_a0021760,3,a = .75. The measure was scored so that higher educ,0.75,52574
10.1037_a0021760,4,"a.

**Sexual communication attitudes**

At Wave I,",NA,52574
10.1037_a0021760,5,"a for this scale was .80.

**Discussions of sexual",0.8,52574
10.1037_a0021760,6,"a = .87).

**Parental disapproval**

Parents' opini",0.87,52574
10.1037_a0021763,1,NA,NA,51170
10.1037_a0021763,2,"a, was quite high: α ≥ .89. The variable depressive",NA,51170
10.1037_a0021763,3,a. The model in Figure 4 provides a good fit to the,NA,51170
10.1037_a0021764,1,NA,NA,125866
10.1037_a0021765,1,NA,NA,104775
10.1037_a0021766,1,NA,NA,47214
10.1037_a0021767,1,NA,NA,64179
10.1037_a0021768,1,NA,NA,91861
10.1037_a0021769,1,NA,NA,93518
10.1037_a0021770,1,NA,NA,95624
10.1037_a0021774,1,NA,NA,45592
10.1037_a0021775,1,NA,NA,70321
10.1037_a0021776,1,NA,NA,69017
10.1037_a0021777,1,NA,NA,60169
10.1037_a0021779,1,NA,NA,21315
10.1037_a0021781,1,NA,NA,86498
10.1037_a0021782,1,NA,NA,94118
10.1037_a0021783,1,NA,NA,40278
10.1037_a0021784,1,NA,NA,34684
10.1037_a0021785,1,NA,NA,37400
10.1037_a0021786,1,NA,NA,55806
10.1037_a0021787,1,NA,NA,47546
10.1037_a0021788,1,NA,NA,79493
10.1037_a0021788,2,"α = .92).

#### Aggressive Behavior and Anger/Hosti",0.92,79493
10.1037_a0021788,3,a ranges from .55 to .94). Given our interest in th,NA,79493
10.1037_a0021788,4,"a for the physical, verbal, indirect, and total agg",NA,79493
10.1037_a0021788,5,a was .94 in the college sample and .93 in the comm,0.94,79493
10.1037_a0021788,6,"a for the anger and hostility scales, respectively,",NA,79493
10.1037_a0021789,1,NA,NA,32250
10.1037_a0021789,2,a for ratings of NA and PA following the SCI were .,NA,32250
10.1037_a0021790,1,NA,NA,98133
10.1037_a0021791,1,NA,NA,45731
10.1037_a0021792,1,NA,NA,70452
10.1037_a0021794,1,NA,NA,77438
10.1037_a0021795,1,NA,NA,53117
10.1037_a0021796,1,NA,NA,49331
10.1037_a0021796,2,a for the PSQ-Op is reported to be >.90 and shows c,NA,49331
10.1037_a0021796,3,a for the PSQ-Org is reported to be >.90 and shows,NA,49331
10.1037_a0021798,1,NA,NA,53072
10.1037_a0021798,2,a for the present study was .91 for positive affect,0.91,53072
10.1037_a0021799,1,NA,NA,76956
10.1037_a0021800,1,NA,NA,73083
10.1037_a0021801,1,NA,NA,57642
10.1037_a0021802,1,NA,NA,29892
10.1037_a0021803,1,NA,NA,63714
10.1037_a0021804,1,NA,NA,88113
10.1037_a0021805,1,NA,NA,84646
10.1037_a0021806,1,NA,NA,44265
10.1037_a0021807,1,NA,NA,96671
10.1037_a0021808,1,NA,NA,75024
10.1037_a0021808,2,"a for the current sample was .96.

**Self-reports o",0.96,75024
10.1037_a0021808,3,"as for the current sample were .86, .93, and .94 fo",0.86,75024
10.1037_a0021808,4,"as for the current sample were .66, .90, and .90 fo",0.66,75024
10.1037_a0021808,5,"a for the current sample was .77.

**General vocabu",0.77,75024
10.1037_a0021809,1,NA,NA,105184
10.1037_a0021810,1,NA,NA,38761
10.1037_a0021811,1,NA,NA,92770
10.1037_a0021812,1,NA,NA,80994
10.1037_a0021813,1,NA,NA,67908
10.1037_a0021814,1,NA,NA,80875
10.1037_a0021814,2,a levels for the age-17 wave were .80 for the stric,0.8,80875
10.1037_a0021814,3,"a for the FAD in the current study was .92, indicat",0.92,80875
10.1037_a0021814,4,"a for the PII in this study was .84.

**Adult attac",0.84,80875
10.1037_a0021815,1,NA,NA,66475
10.1037_a0021815,2,"α = .82 for TOSS and α = .83 for TCHAD).

#### Anal",0.82,66475
10.1037_a0021816,1,NA,NA,36013
10.1037_a0021817,1,NA,NA,76817
10.1037_a0021818,1,NA,NA,75319
10.1037_a0021819,1,NA,NA,53426
10.1037_a0021819,2,"a coefficients (.76, .71, .76, respectively).

Awar",0.71,53426
10.1037_a0021821,1,NA,NA,49533
10.1037_a0021821,2,"α = 0.61–0.66). For perceived severity, participant",0.61,49533
10.1037_a0021821,3,α = 0.82–0.84). Perceived response efficacy and sel,0.82,49533
10.1037_a0021821,4,α = 0.66–0.70). Self-efficacy (the belief that one,0.66,49533
10.1037_a0021821,5,"α = 0.70–0.78). In addition, participants were aske",0.7,49533
10.1037_a0021821,6,α = 0.73–0.86). While intention to stop smoking doe,0.73,49533
10.1037_a0021822,1,NA,NA,25813
10.1037_a0021823,1,NA,NA,27108
10.1037_a0021824,1,NA,NA,30067
10.1037_a0021824,2,"a for the current sample was .86.

**Acculturation*",0.86,30067
10.1037_a0021824,3,"a of .86 in our study.

Results  


Analyses used a",0.86,30067
10.1037_a0021825,1,NA,NA,55076
10.1037_a0021826,1,NA,NA,55908
10.1037_a0021826,2,"a) of this measure was 0.83.

**Alcohol Use Disorde",0.83,55908
10.1037_a0021827,1,NA,NA,90927
10.1037_a0021830,1,NA,NA,13015
10.1037_a0021832,1,NA,NA,78711
10.1037_a0021833,1,NA,NA,6240
10.1037_a0021834,1,NA,NA,60837
10.1037_a0021838,1,NA,NA,109226
10.1037_a0021840,1,NA,NA,174047
10.1037_a0021841,1,NA,NA,51044
10.1037_a0021841,2,a on the horizontal and vertical individualism subs,NA,51044
10.1037_a0021841,3,a for the responsibility (four items) and dangerous,NA,51044
10.1037_a0021841,4,"as, are listed separately by city in Table 2.  
  
",NA,51044
10.1037_a0021842,1,NA,NA,26366
10.1037_a0021843,1,NA,NA,41953
10.1037_a0021843,2,a for each distinct factor fell within the adequate,NA,41953
10.1037_a0021843,3,a reliability coefficients indicated that each fact,NA,41953
10.1037_a0021847,1,NA,NA,92869
10.1037_a0021848,1,NA,NA,60574
10.1037_a0021849,1,NA,NA,93971
10.1037_a0021850,1,NA,NA,102589
10.1037_a0021852,1,NA,NA,33463
10.1037_a0021853,1,NA,NA,98773
10.1037_a0021855,1,NA,NA,65591
10.1037_a0021857,1,NA,NA,115240
10.1037_a0021859,1,NA,NA,52562
10.1037_a0021860,1,NA,NA,137541
10.1037_a0021864,1,NA,NA,115711
10.1037_a0021867,1,NA,NA,133518
10.1037_a0021868,1,NA,NA,192158
10.1037_a0021869,1,NA,NA,3539
10.1037_a0021870,1,NA,NA,66211
10.1037_a0021871,1,NA,NA,48658
10.1037_a0021872,1,NA,NA,55986
10.1037_a0021873,1,NA,NA,67390
10.1037_a0021874,1,NA,NA,57061
10.1037_a0021876,1,NA,NA,52708
10.1037_a0021877,1,NA,NA,47913
10.1037_a0021877,2,"a of .82 (Bennett, Ambrosini, Bianchi, Barnett, Met",0.82,47913
10.1037_a0021878,1,NA,NA,39549
10.1037_a0021880,1,NA,NA,87758
10.1037_a0021881,1,NA,NA,48016
10.1037_a0021882,1,NA,NA,77149
10.1037_a0021882,2,a for this measure was .94 in both Studies 1 and 2.,0.94,77149
10.1037_a0021882,3,"a was .90.

**Control variables**

As demographic v",0.9,77149
10.1037_a0021882,4,"a was .78 in Study 1 and .70 in Study 2.

#### Stat",0.78,77149
10.1037_a0021882,5,"a for these measures of cooperative team goals, int",NA,77149
10.1037_a0021886,1,NA,NA,100439
10.1037_a0021887,1,NA,NA,81369
10.1037_a0021889,1,NA,NA,31124
10.1037_a0021890,1,NA,NA,159662
10.1037_a0021890,2,"α = .75–.89). As can be seen in Table 5, parents' k",0.75,159662
10.1037_a0021890,3,a reliabilities for the print exposure checklists w,NA,159662
10.1037_a0021891,1,NA,NA,73839
10.1037_a0021892,1,NA,NA,74502
10.1037_a0021894,1,NA,NA,63715
10.1037_a0021896,1,NA,NA,37766
10.1037_a0021897,1,NA,NA,59313
10.1037_a0021898,1,NA,NA,27179
10.1037_a0021899,1,NA,NA,37321
10.1037_a0021899,2,a for both groups separately at each assessment poi,NA,37321
10.1037_a0021900,1,NA,NA,68445
10.1037_a0021901,1,NA,NA,14531
10.1037_a0021902,1,NA,NA,79095
10.1037_a0021902,2,α for behavioral inhibition was .61 without the pro,0.61,79095
10.1037_a0021903,1,NA,NA,46986
10.1037_a0021904,1,NA,NA,63045
10.1037_a0021904,2,"as above .70, indicating acceptable reliability (P.",NA,63045
10.1037_a0021904,3,a coefficients were acceptable: .86 for Emotional C,0.86,63045
10.1037_a0021904,4,a reliability coefficients in an independent sample,NA,63045
10.1037_a0021904,5,as for BMS subscale items ranged from .82 to .89 (B,NA,63045
10.1037_a0021904,6,"as were .86 for BMS-MM, .89 for BMS-CE, .82 for BMS",0.86,63045
10.1037_a0021904,7,a coefficients ranging from the .50s to .80s (Berge,NA,63045
10.1037_a0021904,8,"as in the present study were .71 for MRNI-HO, .73 f",0.71,63045
10.1037_a0021904,9,a coefficient of .85 with a sample of fathers recru,0.85,63045
10.1037_a0021904,10,"a for GBATMR items was .88.

**Balanced Inventory o",0.88,63045
10.1037_a0021904,11,as ranging from .75 to .80 in samples of undergradu,NA,63045
10.1037_a0021904,12,"a for BIDR-IM items was .78.

#### Procedure

Parti",0.78,63045
10.1037_a0021904,13,a coefficients. Cronbach's alpha coefficients for i,NA,63045
10.1037_a0021904,14,a coefficients for items on the CMNI-46 subscales r,NA,63045
10.1037_a0021904,15,"a, all reliability estimates fell within the good t",NA,63045
10.1037_a0021904,16,"a of the first component (i.e., the CMNI-46 subscal",NA,63045
10.1037_a0021904,17,"a of the second component (i.e., the validity indic",NA,63045
10.1037_a0021904,18,a and correlations involving the CMNI-46 total item,NA,63045
10.1037_a0021904,19,as as defined by Ponterotto and Ruckdeschel's (2007,NA,63045
10.1037_a0021904,20,a coefficients. Because Cronbach's alpha is associa,NA,63045
10.1037_a0021904,21,a is associated positively with number of items (Po,NA,63045
10.1037_a0021904,22,as approximate values across studies using the full,NA,63045
10.1037_a0021905,1,NA,NA,66365
10.1037_a0021905,2,αs indicated the acceptable reliability of the STSS,NA,66365
10.1037_a0021906,1,NA,NA,3201
10.1037_a0021907,1,NA,NA,22727
10.1037_a0021908,1,NA,NA,49325
10.1037_a0021909,1,NA,NA,82102
10.1037_a0021910,1,NA,NA,33890
10.1037_a0021911,1,NA,NA,46585
10.1037_a0021912,1,NA,NA,101956
10.1037_a0021913,1,NA,NA,82972
10.1037_a0021915,1,NA,NA,17950
10.1037_a0021916,1,NA,NA,10423
10.1037_a0021917,1,NA,NA,45449
10.1037_a0021919,1,NA,NA,72249
10.1037_a0021920,1,NA,NA,48870
10.1037_a0021921,1,NA,NA,46186
10.1037_a0021922,1,NA,NA,85775
10.1037_a0021923,1,NA,NA,100532
10.1037_a0021924,1,NA,NA,72861
10.1037_a0021925,1,NA,NA,57514
10.1037_a0021926,1,NA,NA,58622
10.1037_a0021927,1,NA,NA,34670
10.1037_a0021927,2,"a value. Each of the three factors (fear, avoidance",NA,34670
10.1037_a0021927,3,a values greater than .75. The FH-15 scale had adeq,NA,34670
10.1037_a0021928,1,NA,NA,84819
10.1037_a0021929,1,NA,NA,89352
10.1037_a0021930,1,NA,NA,14150
10.1037_a0021931,1,NA,NA,34756
10.1037_a0021932,1,NA,NA,57242
10.1037_a0021933,1,NA,NA,50540
10.1037_a0021934,1,NA,NA,76458
10.1037_a0021935,1,NA,NA,136483
10.1037_a0021936,1,NA,NA,82090
10.1037_a0021938,1,NA,NA,44591
10.1037_a0021939,1,NA,NA,46562
10.1037_a0021942,1,NA,NA,32137
10.1037_a0021944,1,NA,NA,64219
10.1037_a0021945,1,NA,NA,45825
10.1037_a0021946,1,NA,NA,86381
10.1037_a0021948,1,NA,NA,109637
10.1037_a0021949,1,NA,NA,75295
10.1037_a0021950,1,NA,NA,68593
10.1037_a0021951,1,NA,NA,42966
10.1037_a0021952,1,NA,NA,43612
10.1037_a0021953,1,NA,NA,53075
10.1037_a0021954,1,NA,NA,109920
10.1037_a0021955,1,NA,NA,33278
10.1037_a0021957,1,NA,NA,113732
10.1037_a0021958,1,NA,NA,67560
10.1037_a0021959,1,NA,NA,66264
10.1037_a0021960,1,NA,NA,65717
10.1037_a0021961,1,NA,NA,42006
10.1037_a0021962,1,NA,NA,80118
10.1037_a0021963,1,NA,NA,136581
10.1037_a0021964,1,NA,NA,33897
10.1037_a0021965,1,NA,NA,71121
10.1037_a0021966,1,NA,NA,34247
10.1037_a0021967,1,NA,NA,54914
10.1037_a0021968,1,NA,NA,96973
10.1037_a0021969,1,NA,NA,67520
10.1037_a0021970,1,NA,NA,87584
10.1037_a0021971,1,NA,NA,81055
10.1037_a0021972,1,NA,NA,53688
10.1037_a0021972,2,a = .93 for leaders and .97 for assistants) and sig,0.93,53688
10.1037_a0021972,3,as = .77–.92) and test–retest reliability (Pearson,0.77,53688
10.1037_a0021972,4,as =.70–.88) and test–retest reliability (Pearson p,0.7,53688
10.1037_a0021973,1,NA,NA,64095
10.1037_a0021974,1,NA,NA,63353
10.1037_a0021976,1,NA,NA,53798
10.1037_a0021977,1,NA,NA,68341
10.1037_a0021980,1,NA,NA,54770
10.1037_a0021981,1,NA,NA,24833
10.1037_a0021982,1,NA,NA,3535
10.1037_a0021983,1,NA,NA,51307
10.1037_a0021983,2,and Gleser argued that investigators should conside,NA,51307
10.1037_a0021984,1,NA,NA,90835
10.1037_a0021985,1,NA,NA,53108
10.1037_a0021986,1,NA,NA,91643
10.1037_a0021987,1,NA,NA,104789
10.1037_a0021989,1,NA,NA,50486
10.1037_a0021990,1,NA,NA,108662
10.1037_a0021991,1,NA,NA,70189
10.1037_a0021992,1,NA,NA,58360
10.1037_a0021994,1,NA,NA,74843
10.1037_a0021994,2,"α = .46), composed of 18 multiple-choice and four s",0.46,74843
10.1037_a0021994,3,α = .91) was submitted to an analysis of variance (,0.91,74843
10.1037_a0021995,1,NA,NA,92416
10.1037_a0021998,1,NA,NA,32168
10.1037_a0022004,1,NA,NA,8196
10.1037_a0022008,1,NA,NA,55550
10.1037_a0022009,1,NA,NA,56292
10.1037_a0022010,1,NA,NA,57238
10.1037_a0022011,1,NA,NA,58787
10.1037_a0022012,1,NA,NA,64001
10.1037_a0022013,1,NA,NA,38850
10.1037_a0022013,2,as for the octant scales in the current study were,NA,38850
10.1037_a0022013,3,a for the HAMA was .68. The HAMA was rated by three,0.68,38850
10.1037_a0022013,4,a was used to measure reliability (see also Schauen,NA,38850
10.1037_a0022015,1,NA,NA,39751
10.1037_a0022016,1,NA,NA,58018
10.1037_a0022017,1,NA,NA,52423
10.1037_a0022018,1,NA,NA,102926
10.1037_a0022019,1,NA,NA,77124
10.1037_a0022021,1,NA,NA,52978
10.1037_a0022023,1,NA,NA,55175
10.1037_a0022024,1,NA,NA,39018
10.1037_a0022024,2,"a = .60).

The first SCT mediator, self-efficacy to",0.6,39018
10.1037_a0022024,3,"a = .55). Due to the low alphas of two-item scales,",0.55,39018
10.1037_a0022025,1,NA,NA,52903
10.1037_a0022025,2,"a reliability was .88 in the present study.

**Soci",0.88,52903
10.1037_a0022038,1,NA,NA,66785
10.1037_a0022039,1,NA,NA,65284
10.1037_a0022040,1,NA,NA,21470
10.1037_a0022041,1,NA,NA,31357
10.1037_a0022044,1,NA,NA,62626
10.1037_a0022047,1,NA,NA,45145
10.1037_a0022048,1,NA,NA,60220
10.1037_a0022050,1,NA,NA,29885
10.1037_a0022051,1,NA,NA,79649
10.1037_a0022054,1,NA,NA,63268
10.1037_a0022055,1,NA,NA,36028
10.1037_a0022056,1,NA,NA,56031
10.1037_a0022057,1,NA,NA,64252
10.1037_a0022060,1,NA,NA,50625
10.1037_a0022061,1,NA,NA,36948
10.1037_a0022062,1,NA,NA,70538
10.1037_a0022063,1,NA,NA,42705
10.1037_a0022064,1,NA,NA,46487
10.1037_a0022065,1,NA,NA,57641
10.1037_a0022065,2,"a = .91; Blais et al., 1999; Hilsenroth, Ackerman,",0.91,57641
10.1037_a0022065,3,"a coefficient for this sample was .94.

**Perceptio",0.94,57641
10.1037_a0022065,4,"a for these three items in this sample was .70.

Pr",0.7,57641
10.1037_a0022065,5,"a of .96.

**The Real Relationship Inventory—Client",0.96,57641
10.1037_a0022065,6,a scores and 2- to 3-week test–retest estimates wer,NA,57641
10.1037_a0022065,7,"a for the RRI-C was .95.

#### Procedures

Particip",0.95,57641
10.1037_a0022066,1,NA,NA,33786
10.1037_a0022067,1,NA,NA,27850
10.1037_a0022068,1,NA,NA,77884
10.1037_a0022069,1,NA,NA,52896
10.1037_a0022069,2,"as for the four years of college were 0.89, 0.95, 0",0.89,52896
10.1037_a0022069,3,a = 0.70. A frequency of childhood sexual abuse was,0.7,52896
10.1037_a0022071,1,NA,NA,53838
10.1037_a0022074,1,NA,NA,6076
10.1037_a0022075,1,NA,NA,61576
10.1037_a0022076,1,NA,NA,63457
10.1037_a0022076,2,"a coefficient of .80 or higher.

#### Procedure

Fo",0.8,63457
10.1037_a0022077,1,NA,NA,81495
10.1037_a0022083,1,NA,NA,26564
10.1037_a0022084,1,NA,NA,53398
10.1037_a0022086,1,NA,NA,101162
10.1037_a0022087,1,NA,NA,43895
10.1037_a0022088,1,NA,NA,34598
10.1037_a0022091,1,NA,NA,70186
10.1037_a0022092,1,NA,NA,35214
10.1037_a0022092,2,"α in our sample was .69.

**Demographic and drinkin",0.69,35214
10.1037_a0022094,1,NA,NA,55396
10.1037_a0022095,1,NA,NA,47178
10.1037_a0022096,1,NA,NA,39074
10.1037_a0022097,1,NA,NA,41593
10.1037_a0022098,1,NA,NA,54773
10.1037_a0022099,1,NA,NA,67491
10.1037_a0022100,1,NA,NA,107355
10.1037_a0022104,1,NA,NA,80814
10.1037_a0022106,1,NA,NA,205662
10.1037_a0022107,1,NA,NA,60673
10.1037_a0022108,1,NA,NA,65055
10.1037_a0022109,1,NA,NA,8672
10.1037_a0022110,1,NA,NA,26257
10.1037_a0022111,1,NA,NA,54134
10.1037_a0022111,2,a < .60). This may possibly be due to translation p,NA,54134
10.1037_a0022111,3,a and average corrected item-total correlations. Fo,NA,54134
10.1037_a0022111,4,as for the three higher order factors of both CBQ f,NA,54134
10.1037_a0022111,5,as of the scores on the Standard and the Very Short,NA,54134
10.1037_a0022112,1,NA,NA,63502
10.1037_a0022113,1,NA,NA,65273
10.1037_a0022114,1,NA,NA,67976
10.1037_a0022122,1,NA,NA,59804
10.1037_a0022123,1,NA,NA,34362
10.1037_a0022124,1,NA,NA,70924
10.1037_a0022125,1,NA,NA,65092
10.1037_a0022127,1,NA,NA,83887
10.1037_a0022127,2,αs for this sample were .80 and .79 for the baselin,0.8,83887
10.1037_a0022127,3,"α for this sample was .97 for both conversations.

",0.97,83887
10.1037_a0022127,4,α for the total scale in this sample was .87 and .9,0.87,83887
10.1037_a0022127,5,"α for the present sample was .80.

**Confederate co",0.8,83887
10.1037_a0022127,6,"α range = .72–.84). A 2 (Condition: SB + EXP, EXP)",NA,83887
10.1037_a0022128,1,NA,NA,108473
10.1037_a0022129,1,NA,NA,92112
10.1037_a0022131,1,NA,NA,84318
10.1037_a0022133,1,NA,NA,90546
10.1037_a0022134,1,NA,NA,59716
10.1037_a0022136,1,NA,NA,79490
10.1037_a0022138,1,NA,NA,54932
10.1037_a0022140,1,NA,NA,45964
10.1037_a0022141,1,NA,NA,41674
10.1037_a0022143,1,NA,NA,29681
10.1037_a0022144,1,NA,NA,41859
10.1037_a0022146,1,NA,NA,71001
10.1037_a0022147,1,NA,NA,77082
10.1037_a0022148,1,NA,NA,77245
10.1037_a0022148,2,"α = .76, r = .20, p = .004), but the correlation wa",0.76,77245
10.1037_a0022148,3,"α = .62,, r = .49, p < .001). This correlation sugg",0.62,77245
10.1037_a0022148,4,"α = .92).

#### Results and Discussion

Participant",0.92,77245
10.1037_a0022148,5,"α = .89).

#### Results and Discussion

As a manipu",0.89,77245
10.1037_a0022148,6,"α = .95).

#### Results and Discussion

The descrip",0.95,77245
10.1037_a0022150,1,NA,NA,108462
10.1037_a0022151,1,NA,NA,118394
10.1037_a0022152,1,NA,NA,124816
10.1037_a0022153,1,NA,NA,68669
10.1037_a0022154,1,NA,NA,45710
10.1037_a0022155,1,NA,NA,81200
10.1037_a0022159,1,NA,NA,99045
10.1037_a0022160,1,NA,NA,6169
10.1037_a0022161,1,NA,NA,23929
10.1037_a0022167,1,NA,NA,54265
10.1037_a0022168,1,NA,NA,154289
10.1037_a0022169,1,NA,NA,67690
10.1037_a0022169,2,"a was .95.

Results  


#### Manipulation Check

As",0.95,67690
10.1037_a0022170,1,NA,NA,87575
10.1037_a0022171,1,NA,NA,128641
10.1037_a0022171,2,a coefficient amounted to .97 for response choice a,0.97,128641
10.1037_a0022172,1,NA,NA,53392
10.1037_a0022173,1,NA,NA,32168
10.1037_a0022177,1,NA,NA,38052
10.1037_a0022179,1,NA,NA,70092
10.1037_a0022180,1,NA,NA,34496
10.1037_a0022181,1,NA,NA,46134
10.1037_a0022182,1,NA,NA,44776
10.1037_a0022183,1,NA,NA,49327
10.1037_a0022184,1,NA,NA,61177
10.1037_a0022185,1,NA,NA,49992
10.1037_a0022186,1,NA,NA,47861
10.1037_a0022187,1,NA,NA,45944
10.1037_a0022188,1,NA,NA,51561
10.1037_a0022189,1,NA,NA,50603
10.1037_a0022190,1,NA,NA,104925
10.1037_a0022191,1,NA,NA,85538
10.1037_a0022192,1,NA,NA,80947
10.1037_a0022193,1,NA,NA,67792
10.1037_a0022194,1,NA,NA,48861
10.1037_a0022195,1,NA,NA,54393
10.1037_a0022196,1,NA,NA,62103
10.1037_a0022197,1,NA,NA,69303
10.1037_a0022197,2,α = .80) consists of eight items that measure suspi,0.8,69303
10.1037_a0022197,3,α = .91). The MASQ was developed to test a triparti,0.91,69303
10.1037_a0022199,1,NA,NA,61819
10.1037_a0022199,2,"α = .95).

**Distress**

Distress was assessed with",0.95,61819
10.1037_a0022199,3,"α = .94).

**Sociodemographic characteristics**

So",0.94,61819
10.1037_a0022200,1,NA,NA,79642
10.1037_a0022201,1,NA,NA,53026
10.1037_a0022210,1,NA,NA,45163
10.1037_a0022211,1,NA,NA,58434
10.1037_a0022212,1,NA,NA,65187
10.1037_a0022213,1,NA,NA,43162
10.1037_a0022215,1,NA,NA,76560
10.1037_a0022216,1,NA,NA,106975
10.1037_a0022217,1,NA,NA,36404
10.1037_a0022218,1,NA,NA,65818
10.1037_a0022219,1,NA,NA,54663
10.1037_a0022220,1,NA,NA,70625
10.1037_a0022221,1,NA,NA,37889
10.1037_a0022222,1,NA,NA,33474
10.1037_a0022224,1,NA,NA,40025
10.1037_a0022225,1,NA,NA,11114
10.1037_a0022226,1,NA,NA,60011
10.1037_a0022227,1,NA,NA,62044
10.1037_a0022228,1,NA,NA,47687
10.1037_a0022229,1,NA,NA,65422
10.1037_a0022231,1,NA,NA,50830
10.1037_a0022236,1,NA,NA,18933
10.1037_a0022237,1,NA,NA,58318
10.1037_a0022238,1,NA,NA,52906
10.1037_a0022239,1,NA,NA,56967
10.1037_a0022241,1,NA,NA,9879
